===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
36,,36,1999-02-24 00:00:00,127.84375,128.84375,125.0,125.25,7271000.0,,Strategy,36,729809.0,Broker,36,8724.0625,9976.5625,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,1999-02-25 00:00:00,124.53125,125.28125,122.6875,124.0625,11633000.0,,Strategy,37,729810.0,Broker,37,8724.0625,9964.6875,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,1999-02-26 00:00:00,124.75,124.84375,122.8125,123.5625,9621300.0,,Strategy,38,729811.0,Broker,38,9971.5625,9971.5625,BuySell,38,,126.71640624999999,Trades - Net Profit/Loss,38,,-28.4375
39,,39,1999-03-01 00:00:00,123.65625,124.3125,122.375,123.90625,7607200.0,,Strategy,39,729814.0,Broker,39,9971.5625,9971.5625,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,1999-03-02 00:00:00,124.5,125.3125,122.3125,122.8125,9651500.0,,Strategy,40,729815.0,Broker,40,9971.5625,9971.5625,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,1999-03-03 00:00:00,123.09375,123.5625,121.78125,123.46875,7881400.0,,Strategy,41,729816.0,Broker,41,9971.5625,9971.5625,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,1999-03-04 00:00:00,124.0625,125.484375,123.265625,125.03125,8256400.0,,Strategy,42,729817.0,Broker,42,9971.5625,9971.5625,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,1999-03-05 00:00:00,127.5,128.125,126.5625,127.546875,10703100.0,,Strategy,43,729818.0,Broker,43,8696.5625,9972.03125,BuySell,43,124.6640625,,Trades - Net Profit/Loss,43,,
44,,44,1999-03-08 00:00:00,128.28125,128.796875,127.25,128.375,4802200.0,,Strategy,44,729821.0,Broker,44,8696.5625,9980.3125,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,1999-03-09 00:00:00,128.125,129.9375,127.75,128.0625,7893400.0,,Strategy,45,729822.0,Broker,45,8696.5625,9977.1875,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,1999-03-10 00:00:00,128.46875,129.25,127.78125,129.1875,3950000.0,,Strategy,46,729823.0,Broker,46,8696.5625,9988.4375,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,1999-03-11 00:00:00,129.6875,131.1875,128.875,130.625,6583700.0,,Strategy,47,729824.0,Broker,47,8696.5625,10002.8125,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,1999-03-12 00:00:00,131.0,131.03125,129.21875,129.375,5286500.0,,Strategy,48,729825.0,Broker,48,8696.5625,9990.3125,BuySell,48,,,Trades - Net Profit/Loss,48,,
